rfi_id,package,station,subsystem_type,activity_name,initiator_role,contractor_id,inspector_id,raised_date,sla_deadline,closed_date,result,planned_quantity,verified_quantity,quantity_unit,remarks
RFI-0001,PKG-02-ELECTRICAL,STN-02-Dabri-Mor,ELEC,Earthing system installation,PLANNING_ENG,CTR-04,INS-05,2025-08-11,2025-08-13,2025-08-13,APPROVED_WITH_COMMENTS,172.72,155.69,sqm,"Approved with comments: Cable routing acceptable but labelling incomplete at 7 junction boxes. Complete labelling before next inspection milestone. Weather: Foggy morning, visibility under 200m until 10am."
RFI-0002,PKG-03-SIGNALLING,STN-08-Kirti-Nagar,SIG,Point machine installation,PLANNING_ENG,CTR-07,INS-09,2025-04-02,2025-04-04,2025-04-03,APPROVED,184.02,179.6,kg,Welding inspection carried out. UT test results satisfactory as per IS 822. No defects observed in 9 joints tested. Approved.
RFI-0003,PKG-02-ELECTRICAL,STN-05-Sadar-Bazar,BMS,HVAC integration with BMS,SITE_ENG,CTR-05,INS-07,2025-06-14,2025-06-16,2025-06-23,REJECTED,144.09,0,nos,"REJECTED: Alignment deviation of 9mm exceeds tolerance of +/-5mm at chainage 4540m. Contractor to realign and request re-inspection. Weather: Monsoon conditions, intermittent rain."
RFI-0004,PKG-05-TRACK,STN-05-Sadar-Bazar,TRACK,Check rail installation,PLANNING_ENG,CTR-08,INS-01,2026-01-15,2026-01-17,2026-01-15,APPROVED,55.55,53.82,cum,"Inspection carried out. Alignment checked with total station, deviation within +/-8mm. Material test certificates verified. Clearance granted."
RFI-0005,PKG-04-TELECOM,STN-07-ESI-Hospital,TEL,Telephone exchange setup,SITE_ENG,CTR-05,INS-12,2025-05-11,2025-05-13,2025-05-12,APPROVED,461.72,455.06,nos,"Inspection carried out. Alignment checked with total station, deviation within +/-1mm. Material test certificates verified. Clearance granted. Weather: Clear, 28C, good conditions."
RFI-0006,PKG-03-SIGNALLING,STN-01-Janakpuri-West,SIG,Data logger installation,CONTRACTOR_SE,CTR-06,INS-10,2026-02-05,2026-02-07,2026-02-07,APPROVED,421.93,387.56,nos,"Installation completed as per approved methodology. Torque values checked and within specification. Witness photographs attached. Weather: Overcast, light drizzle earlier."
RFI-0007,PKG-05-TRACK,STN-02-Dabri-Mor,TRACK,Third rail insulator mounting,SITE_ENG,CTR-08,INS-01,2025-11-18,2025-11-20,2025-11-20,APPROVED,459.19,453.13,cum,"Reinforcement placement verified against bar bending schedule. Lap length and spacing as per IS 456. No deviation observed. Fit for concreting. Weather: Monsoon conditions, intermittent rain."
RFI-0008,PKG-01-CIVIL,STN-06-Rajouri-Garden,CIVIL,Pier column reinforcement,PLANNING_ENG,CTR-02,INS-01,2025-09-05,2025-09-07,2025-09-06,APPROVED,450.5,442.97,sqm,"Earthing resistance measured at 1.1 ohm against maximum 1.0 ohm specification. Satisfactory. Approved. Weather: Clear, 28C, good conditions."
RFI-0009,PKG-03-SIGNALLING,STN-06-Rajouri-Garden,SCADA,Alarm management setup,PLANNING_ENG,CTR-06,INS-09,2026-02-15,2026-02-17,2026-02-16,APPROVED,196.48,196.29,rmt,Work executed as per approved drawing DRG-777-R1. Concrete cube strength satisfactory at 30 MPa. Cover meter reading within tolerance. Approved for next activity.
RFI-0010,PKG-04-TELECOM,STN-08-Kirti-Nagar,TEL,OFC termination and splicing,SITE_ENG,CTR-05,INS-12,2026-03-04,2026-03-06,2026-03-04,APPROVED_WITH_COMMENTS,64.78,64.24,sqm,Approved with comments: Concrete placement acceptable but vibration marks observed on soffit. Cosmetic rectification required. Structural integrity not affected.
